CHANGWAT_T,LAT,LONG
สตูล,6.546,99.706
ระยอง,12.646,101.171
ชุมพร,10.459,99.403
มหาสารคาม,16.162,103.484
สุราษฎร์ธานี,9.708,99.675
ชลบุรี,12.611,100.889
ตรัง,7.033,99.449
จันทบุรี,12.465,102.066
พังงา,9.406,97.901
ตราด,11.817,102.397
ระนอง,9.401,98.392
ภูเก็ต,7.924,98.455
กระบี่,8.049,98.676
กรุงเทพมหานคร,13.753,100.5
นครศรีธรรมราช,9.324,99.775
สมุทรสาคร,13.533,100.276
พระนครศรีอยุธยา,14.328,100.404
ลพบุรี,14.802,100.611
สมุทรปราการ,13.656,100.533
อ่างทอง,14.588,100.459
ปัตตานี,6.87,101.256
เชียงใหม่,18.785,98.985
ชัยนาท,15.263,100.041
นนทบุรี,13.914,100.422
อุตรดิตถ์,17.652,100.039
ขอนแก่น,16.035,102.723
นครสวรรค์,15.896,100.315
เพชรบุรี,13.121,99.9
สิงห์บุรี,14.89,100.404
สมุทรสงคราม,13.487,99.958
ราชบุรี,13.816,99.873
นครนายก,14.204,101.219
สระบุรี,14.586,101.002
นครปฐม,13.787,100.192
กาญจนบุรี,13.954,99.752
ปทุมธานี,14.031,100.552
พิษณุโลก,16.789,100.25
ฉะเชิงเทรา,13.707,101.1
เชียงราย,19.907,99.832
สงขลา,7.561,100.356
ลำพูน,18.537,98.933
หนองคาย,17.89,102.761
อุบลราชธานี,15.244,104.894
สุโขทัย,17.012,99.822
พะเยา,19.172,99.894
อุทัยธานี,15.371,99.9
แพร่,18.14,100.142
เพชรบูรณ์,16.839,101.239
แม่ฮ่องสอน,19.302,97.97
บุรีรัมย์,14.999,103.104
พิจิตร,16.222,100.427
น่าน,18.793,100.786
ยะลา,6.464,101.374
สุพรรณบุรี,14.85,99.988
นครราชสีมา,14.909,101.851
ปราจีนบุรี,14.057,101.374
ตาก,16.862,99.129
ร้อยเอ็ด,15.6,104.139
นครพนม,17.066,104.749
มุกดาหาร,16.53,104.724
สระแก้ว,13.68,102.517
อุดรธานี,17.411,102.792
ลำปาง,18.752,99.996
ศรีสะเกษ,14.669,104.271
ยโสธร,15.799,104.148
พัทลุง,7.589,100.05
นราธิวาส,6.424,101.82
เลย,17.493,101.732
กาฬสินธุ์,16.266,103.737
สุรินทร์,14.884,103.49
ประจวบคีรีขันธ์,11.805,99.784
ชัยภูมิ,16.61,101.921
สกลนคร,17.125,104.26
กำแพงเพชร,16.473,99.528
อำนาจเจริญ,15.823,104.562
หนองบัวลำภู,17.308,102.117
บึงกาฬ,18.031,103.711
